Working on data:  bbbp
1026 117 142 285
Starting upsampling for data: bbbp
Model loaded!!
DisentGNN(
  (gnn): MultiViewGCN(
    (conv1): GCNConv(9, 32)
    (conv2): GCNConv(32, 64)
    (conv3): GCNConv(64, 64)
    (lin1): Linear(in_features=64, out_features=32, bias=True)
    (lin2): Linear(in_features=32, out_features=64, bias=True)
  )
  (mlp_z1): Linear(in_features=64, out_features=16, bias=True)
  (mlp_z2): Linear(in_features=64, out_features=16, bias=True)
  (lin1): Linear(in_features=16, out_features=32, bias=True)
  (lin2): Linear(in_features=16, out_features=32, bias=True)
  (target_lin): Linear(in_features=32, out_features=1, bias=True)
  (sensitive_lin): Linear(in_features=32, out_features=9, bias=True)
  (layer_norm_1): LayerNorm((1,), eps=1e-05, elementwise_affine=True)
  (layer_norm_2): LayerNorm((9,), eps=1e-05, elementwise_affine=True)
  (layer_norm_3): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
  (batch_norm): BatchNorm1d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
)
Criterion name:  pair_loss_cos
/scratch/zheng/conda/envs/my_env/lib/python3.8/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
Epoch: 36, trloss: 1.1275, trroc: 0.8035, trf1: 0.5391, tracc: 0.6948, valloss: 0.8411, valroc: 0.7959, valf1: 0.4375, valacc: 0.3846, testloss_1: 0.7569, testroc_1: 0.8294, testf1_1: 0.6243, testacc_1: 0.5423, testloss_2: 1.1731, testroc_2: 0.6768, testf1_2: 0.3208, testacc_2: 0.3018.
Epoch: 37, trloss: 1.1205, trroc: 0.8134, trf1: 0.7177, tracc: 0.7066, valloss: 0.4793, valroc: 0.7789, valf1: 0.8619, valacc: 0.7863, testloss_1: 0.4413, testroc_1: 0.8434, testf1_1: 0.8807, testacc_1: 0.8169, testloss_2: 0.7671, testroc_2: 0.6674, testf1_2: 0.6667, testacc_2: 0.5579.
Epoch: 38, trloss: 1.1661, trroc: 0.7979, trf1: 0.6993, tracc: 0.6489, valloss: 0.4245, valroc: 0.7822, valf1: 0.8842, valacc: 0.8120, testloss_1: 0.4310, testroc_1: 0.8219, testf1_1: 0.8983, testacc_1: 0.8310, testloss_2: 0.6690, testroc_2: 0.6857, testf1_2: 0.7010, testacc_2: 0.5930.
Epoch: 39, trloss: 1.1666, trroc: 0.8107, trf1: 0.7196, tracc: 0.7600, valloss: 0.6186, valroc: 0.7874, valf1: 0.7421, valacc: 0.6496, testloss_1: 0.5564, testroc_1: 0.8489, testf1_1: 0.8000, testacc_1: 0.7183, testloss_2: 0.9246, testroc_2: 0.6672, testf1_2: 0.5771, testacc_2: 0.4807.
Epoch: 40, trloss: 1.1266, trroc: 0.8091, trf1: 0.6902, tracc: 0.6483, valloss: 0.4363, valroc: 0.7691, valf1: 0.8617, valacc: 0.7778, testloss_1: 0.4048, testroc_1: 0.8444, testf1_1: 0.8520, testacc_1: 0.7676, testloss_2: 0.6793, testroc_2: 0.6526, testf1_2: 0.7157, testacc_2: 0.6070.
Epoch: 41, trloss: 1.1253, trroc: 0.8117, trf1: 0.7330, tracc: 0.7691, valloss: 0.6082, valroc: 0.7789, valf1: 0.7654, valacc: 0.6752, testloss_1: 0.5588, testroc_1: 0.8393, testf1_1: 0.8119, testacc_1: 0.7324, testloss_2: 0.8741, testroc_2: 0.6746, testf1_2: 0.5690, testacc_2: 0.4737.
Epoch: 42, trloss: 1.0901, trroc: 0.8161, trf1: 0.7281, tracc: 0.7301, valloss: 0.5086, valroc: 0.7765, valf1: 0.8070, valacc: 0.7179, testloss_1: 0.4619, testroc_1: 0.8472, testf1_1: 0.8638, testacc_1: 0.7958, testloss_2: 0.8001, testroc_2: 0.6744, testf1_2: 0.6755, testacc_2: 0.5684.
Epoch: 43, trloss: 1.0706, trroc: 0.8222, trf1: 0.6935, tracc: 0.7595, valloss: 0.7143, valroc: 0.7843, valf1: 0.6842, valacc: 0.5897, testloss_1: 0.6310, testroc_1: 0.8530, testf1_1: 0.7795, testacc_1: 0.6972, testloss_2: 1.0232, testroc_2: 0.6657, testf1_2: 0.5134, testacc_2: 0.4281.
Epoch: 44, trloss: 1.0867, trroc: 0.8241, trf1: 0.7142, tracc: 0.6937, valloss: 0.4500, valroc: 0.7809, valf1: 0.8757, valacc: 0.8034, testloss_1: 0.4348, testroc_1: 0.8458, testf1_1: 0.8818, testacc_1: 0.8169, testloss_2: 0.6847, testroc_2: 0.6700, testf1_2: 0.7077, testacc_2: 0.6000.
Epoch: 45, trloss: 1.0821, trroc: 0.8267, trf1: 0.7342, tracc: 0.7712, valloss: 0.5960, valroc: 0.7985, valf1: 0.7805, valacc: 0.6923, testloss_1: 0.5575, testroc_1: 0.8485, testf1_1: 0.8000, testacc_1: 0.7183, testloss_2: 0.9169, testroc_2: 0.6806, testf1_2: 0.5892, testacc_2: 0.4912.
Epoch: 46, trloss: 1.0720, trroc: 0.8303, trf1: 0.7005, tracc: 0.7638, valloss: 0.6872, valroc: 0.8054, valf1: 0.7013, valacc: 0.6068, testloss_1: 0.6440, testroc_1: 0.8458, testf1_1: 0.7668, testacc_1: 0.6831, testloss_2: 1.0686, testroc_2: 0.6834, testf1_2: 0.5412, testacc_2: 0.4526.
